"Prodotto","Sorgente","Destinazione","Errore"
"Bietola 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\bietola-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pesche Sciroppate 700gr","C:\Users\info\Desktop\frutta\immagini\fruttit\pesche-sciroppate-700gr-fruttit.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pesche-sciroppate-700gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mango 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mango-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Guava ( 1 Cassa ) 20 Frutti","C:\Users\info\Desktop\frutta\immagini\fruttit\guava-1-cassa-20-frutti-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\guava-1-cassa-20-frutti.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Spaghettoni Acqua E Farina 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\spaghettoni-acqua-e-farina-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\spaghettoni-acqua-e-farina-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Miele Eucalipto 400gr","C:\Users\info\Desktop\frutta\immagini\fruttit\miele-eucalipto-400gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\miele-eucalipto-400gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mela Golden Delicious 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mela-golden-delicious-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Box Agrumi 6kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\box-agrumi-6kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\box-agrumi-6kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cavolo Cappuccio 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\cavolo-cappuccio-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cavolo-cappuccio-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Guanciale Trancio 300gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\guanciale-al-peperoncino-trancio-300gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\guanciale-trancio-300gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pomodoro Ciliegino 0,5kg","C:\Users\info\Desktop\frutta\immagini\fruttit\pomodoro-ciliegino-0-5kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pomodoro-ciliegino-0-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Microgreen Shiso Leaves Mix","C:\Users\info\Desktop\frutta\immagini\fruttit\microgreen-shiso-leaves-mix-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\microgreen-shiso-leaves-mix.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pere Opera Abate Fetel 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\pere-opera-abate-fetel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pere-opera-abate-fetel-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Miele Arancio 400gr","C:\Users\info\Desktop\frutta\immagini\fruttit\arancio-tarocco-sicilia-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\miele-arancio-400gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Miele Millefiori 400gr","C:\Users\info\Desktop\frutta\immagini\fruttit\miele-millefiori-400gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\miele-millefiori-400gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Nocciole Da Sgusciare 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\nocciole-da-sgusciare-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\nocciole-da-sgusciare-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Banane Chiquita","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\banane-chiquita.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Maggiorana Fresca 1mz","C:\Users\info\Desktop\frutta\immagini\ortitaly\maggiorana-fresca-1mz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\maggiorana-fresca-1mz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pacco Natalizio Di Frutta E Verdura Grande ( Consegna Dal 22 Dicembre )","C:\Users\info\Desktop\frutta\immagini\fruttit\pacco-natalizio-di-frutta-e-verdura-grande-consegna-dal-22-dicembre-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pacco-natalizio-di-frutta-e-verdura-grande-consegna-dal-22-dicembre.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Annurca 5kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-annurca-5kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-annurca-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Spinacino","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\spinacino.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Coppiette Suino 250gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\coppiette-suino-250gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\coppiette-suino-250gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fragole Disidratate 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\fragole-disidratate-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fragole-disidratate-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Puntarelle A Mazzi 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\puntarelle-a-mazzi-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mais Cancha 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mais-cancha-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pere Williams Rosse 1 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\pere-williams-rosse-1-kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pere-williams-rosse-1-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Miyagawa 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\miyagawa-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Radicchio Variegato 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\radicchio-variegato-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Insalata Canasta 1 Pianta","C:\Users\info\Desktop\frutta\immagini\ortitaly\insalata-canasta-1-pianta-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\insalata-canasta-1-pianta.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patata Dolce A Pasta Bianca","C:\Users\info\Desktop\frutta\immagini\ortitaly\patata-dolce-a-pasta-bianca-ortitaly.jpeg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patata-dolce-a-pasta-bianca.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pinoli Italia","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pinoli-italia.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Scalogno","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\scalogno.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Rosmarino Vaso14","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\rosmarino-vaso14.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofi Interi Sott'olio 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\carciofi-interi-sott-olio-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofi-interi-sott-olio-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mais Morado Secco 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\mais-morado-secco-1kg-ortitaly.jpeg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mais-morado-secco-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pomodoro Da Riso 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pomodoro-da-riso-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Golden Trentino","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-trentino-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-golden-trentino.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mela Granny Smith 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mela-granny-smith-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cassetta Di Avocado ( 9 Frutti )","C:\Users\info\Desktop\frutta\immagini\fruttit\cassetta-di-avocado-9-frutti-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cassetta-di-avocado-9-frutti.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Platano 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\platano-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Bergamotto Naturale 5kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\bergamotto-naturale-5kg-ortitaly.jpeg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\bergamotto-naturale-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Peperoni Gialli Dolci","C:\Users\info\Desktop\frutta\immagini\ortitaly\peperoni-gialli-dolci-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\peperoni-gialli-dolci.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Puntarelle Pulite A Mano","C:\Users\info\Desktop\frutta\immagini\ortitaly\puntarelle-pulite-a-mano-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\puntarelle-pulite-a-mano.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Guava 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\guava-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Tamarillo 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\tamarillo-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cetrioli 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cetrioli-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Per Friggere","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-per-friggere-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-per-friggere.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Samboa 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-samboa-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Finger Lime ( Faustrime ) 500gr","C:\Users\info\Desktop\frutta\immagini\fruttit\finger-lime-faustrime-500gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\finger-lime-faustrime-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Minestrone Fresco","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\minestrone-fresco.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Succo Di Guava 1lt","C:\Users\info\Desktop\frutta\immagini\ortitaly\succo-di-guava-1lt-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\succo-di-guava-1lt.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Bananito Via Aerea 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\bananito-via-aerea-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\bananito-via-aerea-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Macedonia Di Fragole","C:\Users\info\Desktop\frutta\immagini\ortitaly\macedonia-di-fragole-ortitaly.jpeg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\macedonia-di-fragole.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fragole Extra","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fragole-extra.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Bananito ( 1 Confezione ) 250gr","C:\Users\info\Desktop\frutta\immagini\fruttit\bananito-1-confezione-250gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\bananito-1-confezione-250gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kumquat Disidratato 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\kumquat-disidratato-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kumquat-disidratato-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pompelmo Rosa 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pompelmo-rosa-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kale Riccio","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kale-riccio.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Limoni 10kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\limoni-10kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Granadilla ( 1 Cassa )","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\granadilla-1-cassa.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Olive Da Condire 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\olive-da-condire-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\olive-da-condire-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Papaya Formosa 3pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\papaya-formosa-3pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\papaya-formosa-3pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Insalata Lattuga 1 Pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\insalata-lattuga-1-pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\insalata-lattuga-1-pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fichi D'india ( 2 Frutti )","C:\Users\info\Desktop\frutta\immagini\fruttit\fichi-d-india-2-frutti-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fichi-d-india-2-frutti.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cipolla Bianca 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cipolla-bianca-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Limoni","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\limoni.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fungo Pioppino 500gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\fungo-pioppino-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fungo-pioppino-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Rosse 1 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-rosse-1-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mango Via Aerea","C:\Users\info\Desktop\frutta\immagini\fruttit\mango-via-aerea-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mango-via-aerea.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Broccolo Siciliano 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\broccolo-siciliano-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\broccolo-siciliano-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Da Forno","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-da-forno.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofo Romanesco","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofo-romanesco.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Tonno All'olio Di Oliva 180gr","C:\Users\info\Desktop\frutta\immagini\fruttit\tonno-all-olio-di-oliva-180gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\tonno-all-olio-di-oliva-180gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mango Disidratato 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\mango-disidratato-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mango-disidratato-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Box Frutta Grande","C:\Users\info\Desktop\frutta\immagini\fruttit\box-frutta-grande-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\box-frutta-grande.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Noci Pecan 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\noci-pecan-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ciliegie Disidratate 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\ciliegie-disidratate-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ciliegie-disidratate-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Dolci Pasta Arancio 10kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-dolci-pasta-arancio-10kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-dolci-pasta-arancio-10kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Stick","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-stick.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fungo Champignon Affettato 1 Conf","C:\Users\info\Desktop\frutta\immagini\ortitaly\fungo-champignon-affettato-1-conf-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fungo-champignon-affettato-1-conf.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Tonno All'olio Di Oliva 330gr","C:\Users\info\Desktop\frutta\immagini\fruttit\tonno-all-olio-di-oliva-330gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\tonno-all-olio-di-oliva-330gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Aneto Fresco 1 Mz","C:\Users\info\Desktop\frutta\immagini\ortitaly\aneto-fresco-1-mz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\aneto-fresco-1-mz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Papaya Disidratata 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\papaya-disidratata-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\papaya-disidratata-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Alchechengi ( Physalis ) 1 Vaschetta 100gr","C:\Users\info\Desktop\frutta\immagini\fruttit\alchechengi-physalis-1-vaschetta-100gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\alchechengi-physalis-1-vaschetta-100gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Insalata Mista 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\insalata-mista-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\insalata-mista-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fagioli Dall'occhio 1 Bustina (333gr)","C:\Users\info\Desktop\frutta\immagini\fruttit\fagioli-dall-occhio-1-bustina-333gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fagioli-dall-occhio-1-bustina-333gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofo Romanesco 20pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\carciofo-romanesco-20pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofo-romanesco-20pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Peperoni Rossi 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\peperoni-rossi-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Topinambur 500gr","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\topinambur-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cocomero Baby ( Anguria ) 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\cocomero-baby-anguria-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cocomero-baby-anguria-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cavolfiore Verde 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\cavolfiore-verde-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cavolfiore-verde-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kiwi Disidratato 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\kiwi-disidratato-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kiwi-disidratato-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fragole 1 Cestino","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fragole-1-cestino.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Aglio Rosso","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\aglio-rosso.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Biedina","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\biedina.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofo Romanesco 3 Pezzi","C:\Users\info\Desktop\frutta\immagini\fruttit\carciofo-romanesco-3-pezzi-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofo-romanesco-3-pezzi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Datteri 1 Confezione 250gr","C:\Users\info\Desktop\frutta\immagini\fruttit\datteri-1-confezione-250gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\datteri-1-confezione-250gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mandorle Tostate Salate 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\mandorle-tostate-salate-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mandorle-tostate-salate-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pera Degana 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pera-degana-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
